"","a1","a2","a3","a4","a5","c1","c2","c3","c4","c5","e1","e2","e3","e4","e5","n1","n2","n3","n4","n5","o1","o2","o3","o4","o5","gender","education","age","id","genderf","educationf","nmiss","retain","agreeableness","conscientiousness","extraversion","neuroticism","openness","perc_agreeableness","perc_conscientiousness","perc_extraversion","perc_neuroticism","perc_openness"
"26",1,6,6,1,6,5,2,5,1,1,1,1,6,6,6,2,3,1,2,1,6,4,5,5,3,2,3,20,61668,"female","some college",0,TRUE,5,4.8,6,1.8,4.6,60.3,68.3,98.8,13.8,48.5
"27",2,4,4,4,3,6,5,6,1,1,2,4,4,2,6,3,3,5,3,2,5,2,6,6,1,2,5,51,61669,"female","graduate degree",0,TRUE,4,5.8,4,3.2,5.6,21.2,96.4,41.9,53.1,88.9
"28",2,5,6,6,6,4,5,4,3,4,1,2,6,6,6,4,4,5,2,3,6,1,6,4,3,2,,14,61670,"female",,2,TRUE,5.6,4,5.8,3.6,5.2,86,37.5,96.2,63.6,74.6
"29",2,5,1,3,5,5,4,5,2,5,1,2,6,5,4,1,4,2,2,5,2,4,5,4,1,2,3,33,61672,"female","some college",0,TRUE,3.8,4.2,5.2,2.8,4,16,44.3,83.3,41.3,23.7
"30",4,5,6,5,5,5,5,3,5,4,1,2,6,5,5,5,4,4,3,1,4,4,6,5,1,2,3,18,61673,"female","some college",0,TRUE,4.8,3.6,5.4,3.4,4.8,50.9,24.2,88.7,58.2,57.7
"31",1,6,5,6,3,5,5,5,4,3,2,5,1,5,3,5,5,5,6,6,4,3,3,6,5,2,,17,61678,"female",,2,TRUE,5.2,4.4,3.2,5.4,3.8,69.3,52.1,18.9,96.4,17.3
"32",2,5,6,6,6,5,5,5,2,4,1,2,4,5,5,3,2,4,1,2,5,2,5,5,2,2,3,41,61679,"female","some college",0,TRUE,5.6,4.6,5,2.4,5,86,60.3,76.9,29.6,66.4
"33",1,5,6,5,4,1,5,6,4,6,6,6,2,1,1,1,2,1,3,6,6,6,5,6,1,1,5,23,61682,"male","graduate degree",0,TRUE,5.2,3.2,1.2,2.6,4.8,69.3,13.8,0.5,35.3,57.7
"34",2,4,5,6,5,4,6,4,2,4,2,2,3,5,3,2,2,4,1,3,5,5,5,4,2,2,,17,61683,"female",,2,TRUE,5,4.4,4.2,2.4,4.2,60.3,52.1,48.9,29.6,31.3
"35",4,4,4,4,4,4,3,3,3,4,2,3,4,2,3,,2,1,2,2,4,3,5,5,3,1,3,20,61684,"male","some college",1,TRUE,3.8,3.4,3.6,2,4.4,16,18.6,28.5,18.8,39.5
"36",5,3,5,4,2,2,2,4,3,4,3,4,3,2,3,5,3,4,4,3,4,5,4,4,3,1,3,23,61685,"male","some college",0,TRUE,3.2,3,3,3.8,3.6,7.4,9.9,15.1,69.1,12.1
"37",1,6,4,6,4,5,6,3,1,5,6,6,3,2,2,2,2,2,4,1,5,5,4,5,3,1,3,20,61686,"male","some college",0,TRUE,5.2,4.4,1.8,2.2,4,69.3,52.1,2.7,24.1,23.7
"38",1,4,4,2,3,6,5,6,3,4,3,4,3,3,5,5,6,5,5,4,5,5,4,5,2,1,3,21,61687,"male","some college",0,TRUE,3.8,4.8,3.6,5,4.2,16,68.3,28.5,92.6,31.3
"39",1,6,6,6,6,6,6,6,1,1,1,1,1,6,6,1,1,1,1,1,6,1,6,6,1,1,,30,61688,"male",,2,TRUE,6,6,5,1,6,97.6,98.9,76.9,1.5,98.1
"40",1,5,4,3,5,6,5,5,2,2,3,2,3,6,5,1,2,1,2,1,5,1,6,6,1,2,5,48,61691,"female","graduate degree",0,TRUE,4.6,5.2,4.6,1.4,5.8,42.2,82.5,62.8,6.4,94.1
"41",1,5,5,6,5,4,4,4,3,4,4,3,4,4,4,2,2,3,3,3,4,3,2,5,2,2,3,40,61692,"female","some college",0,TRUE,5.4,3.8,3.8,2.6,4,78.1,30.7,34.9,35.3,23.7
"42",5,4,3,6,4,5,2,5,2,4,6,4,2,4,4,1,2,1,2,,3,3,2,2,5,2,4,27,61693,"female","college graduate",1,TRUE,3.8,4,2.8,1.8,2.6,16,37.5,11.6,13.8,1
"43",1,5,4,4,5,4,5,4,3,3,3,3,2,5,4,2,3,1,3,2,4,3,5,4,3,1,1,18,61696,"male","HS",0,TRUE,4.8,4.2,3.8,2.2,4.2,50.9,44.3,34.9,24.1,31.3
"44",5,6,4,3,5,5,3,3,4,5,6,4,4,4,3,2,2,3,4,5,3,5,4,4,4,1,4,20,61698,"male","college graduate",0,TRUE,4,3.2,3,3.2,3.2,21.2,13.8,15.1,53.1,4.9
"45",2,6,6,6,6,5,4,5,3,4,2,2,4,5,5,2,2,2,2,3,5,2,5,5,1,2,5,24,61700,"female","graduate degree",0,TRUE,5.8,4.2,4.8,2.2,5.2,92.2,44.3,69.8,24.1,74.6
"46",1,6,6,6,6,5,2,1,2,1,6,5,6,6,5,2,1,4,6,5,6,5,6,6,1,1,3,25,61701,"male","some college",0,TRUE,6,3.8,4,3.6,5.2,97.6,30.7,41.9,63.6,74.6
"47",5,5,3,4,3,4,4,3,4,5,4,4,5,2,4,4,5,3,5,2,3,5,4,4,2,1,2,22,61702,"male","finished HS",0,TRUE,3.4,3.2,3.4,3.8,3.6,9.7,13.8,23.1,69.1,12.1
"48",2,6,4,5,5,3,2,3,4,6,2,4,2,4,4,3,4,2,2,4,5,4,5,3,2,2,1,18,61703,"female","HS",0,TRUE,5,2.4,3.6,3,4.2,60.3,3.5,28.5,47.5,31.3
"49",1,5,3,2,3,3,6,3,1,3,5,5,5,5,3,5,5,5,5,3,3,3,2,5,1,2,1,43,61713,"female","HS",0,TRUE,3.8,4.4,3.4,4.6,4,16,52.1,23.1,87.5,23.7
"50",1,6,6,6,6,5,5,4,1,2,1,1,6,6,6,4,4,1,1,1,6,3,6,6,1,1,3,20,61715,"male","some college",0,TRUE,6,5,6,2.2,5.6,97.6,75.8,98.8,24.1,88.9
"51",1,6,6,6,4,4,3,1,4,2,2,2,5,4,4,6,6,6,3,3,3,1,4,6,2,2,3,24,61716,"female","some college",0,TRUE,5.6,3.2,4.6,4.8,4.8,86,13.8,62.8,90.3,57.7
"52",1,5,6,5,4,6,6,6,6,2,4,4,4,3,6,1,1,1,6,5,5,6,3,6,3,2,4,26,61723,"female","college graduate",0,TRUE,5.2,4.8,3.8,2.8,3.8,69.3,68.3,34.9,41.3,17.3
"53",3,6,4,4,4,5,5,3,2,5,1,1,4,6,5,2,2,1,1,1,5,1,5,5,6,1,4,26,61724,"male","college graduate",0,TRUE,4.4,4,5.4,1.4,4.4,34.5,37.5,88.7,6.4,39.5
"54",4,3,5,6,3,5,6,2,5,2,3,5,2,6,2,6,5,5,5,6,2,5,2,6,4,2,3,25,61725,"female","some college",0,TRUE,4,4,3.2,5.4,3,21.2,37.5,18.9,96.4,2.8
"55",1,6,6,6,6,6,5,5,2,2,1,2,5,6,5,2,3,2,3,2,5,3,5,5,2,1,4,25,61728,"male","college graduate",0,TRUE,6,5.2,5.4,2.4,4.8,97.6,82.5,88.7,29.6,57.7
"56",1,4,3,5,5,5,5,4,4,5,2,5,4,5,5,2,4,4,5,3,5,1,6,6,1,1,5,26,61730,"male","graduate degree",0,TRUE,4.6,3.8,4.2,3.6,5.8,42.2,30.7,48.9,63.6,94.1
"57",1,4,2,2,2,5,5,5,5,1,4,5,4,3,4,3,4,5,5,5,4,4,6,6,3,2,3,21,61731,"female","some college",0,TRUE,3.2,4.6,3.2,4.4,4.6,7.4,60.3,18.9,83.8,48.5
"58",3,4,5,2,4,5,4,5,2,4,5,5,5,4,5,5,5,5,3,2,5,2,5,5,5,1,5,24,61732,"male","graduate degree",0,TRUE,3.8,4.4,3.6,4,4.4,16,52.1,28.5,74.3,39.5
"59",1,6,5,4,4,6,6,6,1,4,4,4,1,2,5,3,4,4,4,4,4,4,4,2,1,2,2,50,61740,"female","finished HS",0,TRUE,5,5.4,2.8,3.8,3.8,60.3,88.2,11.6,69.1,17.3
"60",3,3,5,4,5,6,4,4,2,2,2,1,4,6,4,1,2,1,4,1,4,3,5,5,2,1,5,29,61742,"male","graduate degree",0,TRUE,4.2,4.8,5,1.8,4.6,27.6,68.3,76.9,13.8,48.5
"61",2,3,4,4,5,5,3,2,4,6,4,4,3,5,2,4,4,6,5,2,2,4,3,5,5,1,1,32,61748,"male","HS",0,TRUE,4.2,2.8,3.2,4.2,3,27.6,7.1,18.9,79.4,2.8
"62",2,4,4,5,3,5,5,4,3,4,6,5,4,3,4,4,5,4,5,5,6,6,4,6,2,1,1,18,61749,"male","HS",0,TRUE,4.2,4.2,2.8,4.6,4.4,27.6,44.3,11.6,87.5,39.5
"63",1,4,6,6,6,,6,6,2,3,1,1,5,6,6,4,4,3,1,3,5,3,3,6,3,2,4,32,61754,"female","college graduate",1,TRUE,5.6,5.2,5.8,3,4.4,86,82.5,96.2,47.5,39.5
"64",4,5,3,5,4,6,5,5,2,2,1,1,5,6,6,3,5,3,1,3,4,1,4,6,1,2,3,26,61756,"female","some college",0,TRUE,4,5.2,5.8,3,5.2,21.2,82.5,96.2,47.5,74.6
"65",2,6,6,6,6,4,6,6,1,4,3,6,5,4,4,4,3,6,6,4,4,1,6,6,3,2,5,27,61757,"female","graduate degree",0,TRUE,5.8,5,3.6,4.6,5.2,92.2,75.8,28.5,87.5,74.6
"66",2,,4,6,4,5,4,5,2,1,5,5,3,3,3,1,1,1,,1,2,1,4,6,1,2,3,19,61759,"female","some college",2,TRUE,4.8,5,2.6,1.4,4.8,50.9,75.8,8.6,6.4,57.7
"67",1,5,4,2,5,1,2,2,2,6,2,5,2,2,1,2,5,5,4,2,5,4,4,6,1,1,4,21,61761,"male","college graduate",0,TRUE,4.4,2.2,2.4,3.6,4.8,34.5,2.3,6.4,63.6,57.7
"68",4,3,2,2,2,4,2,2,4,5,4,3,4,2,4,1,2,1,5,2,6,1,6,6,1,1,3,21,61762,"male","some college",0,TRUE,2.4,2.6,3.4,2.2,6,1.9,5.1,23.1,24.1,98.1
"69",2,3,4,5,6,5,5,4,2,2,1,2,4,4,4,1,2,2,4,2,3,2,5,5,2,2,5,36,61763,"female","graduate degree",0,TRUE,4.6,4.8,4.6,2.2,4.6,42.2,68.3,62.8,24.1,48.5
"70",1,6,6,3,6,6,5,6,1,4,4,4,2,3,3,1,2,2,5,2,6,2,3,5,2,2,2,48,61764,"female","finished HS",0,TRUE,5.4,5.2,2.8,2.4,4.8,78.1,82.5,11.6,29.6,57.7
"71",4,5,6,6,4,4,6,6,1,2,4,3,5,5,5,2,3,3,1,3,4,1,4,6,2,2,3,22,61771,"female","some college",0,TRUE,4.8,5.4,4.4,2.4,5,50.9,88.2,55.8,29.6,66.4
"72",2,4,6,2,5,2,4,4,1,1,1,1,4,4,,1,3,2,2,1,6,2,4,5,3,2,2,23,61772,"female","finished HS",1,TRUE,4.4,4.4,5,1.8,4.8,34.5,52.1,76.9,13.8,57.7
"73",4,4,4,5,3,5,4,6,2,4,2,2,4,6,4,5,5,4,3,5,4,1,4,2,3,1,3,21,61773,"male","some college",0,TRUE,3.8,4.6,4.8,4.4,4,16,60.3,69.8,83.8,23.7
"74",1,5,5,5,4,5,5,5,1,2,4,4,3,2,5,1,2,4,4,4,5,1,5,4,2,2,3,20,61775,"female","some college",0,TRUE,5,5.2,3.2,3,5,60.3,82.5,18.9,47.5,66.4
"75",3,5,5,5,4,5,5,5,1,1,2,3,5,5,4,2,1,2,2,3,5,1,5,4,2,2,3,23,61776,"female","some college",0,TRUE,4.6,5.4,4.6,2,5,42.2,88.2,62.8,18.8,66.4
"76",2,5,5,6,5,5,4,6,3,2,1,1,4,6,5,2,2,3,3,2,5,1,4,3,4,2,4,43,61777,"female","college graduate",0,TRUE,5.2,4.8,5.4,2.4,4.2,69.3,68.3,88.7,29.6,31.3
"77",2,6,6,6,6,5,4,5,1,2,1,1,6,6,5,2,4,2,1,1,6,3,5,4,1,2,,16,61778,"female",,2,TRUE,5.8,5,5.8,2,5,92.2,75.8,96.2,18.8,66.4
"78",5,6,6,6,5,5,5,6,3,4,1,2,5,6,6,4,3,4,4,6,5,4,5,6,3,2,,14,61780,"female",,2,TRUE,5,4.6,5.6,4.2,4.6,60.3,60.3,93,79.4,48.5
"79",1,2,2,4,2,2,4,2,5,1,2,2,4,2,2,4,2,2,2,4,2,3,4,2,4,2,3,54,61782,"female","some college",0,TRUE,3.2,3.2,3.6,2.8,3,7.4,13.8,28.5,41.3,2.8
"80",2,5,5,5,5,4,2,3,5,4,4,4,4,5,4,2,3,4,5,2,4,4,3,5,1,1,2,20,61783,"male","finished HS",0,TRUE,5,2.8,3.8,3.2,4.2,60.3,7.1,34.9,53.1,31.3
"81",1,5,6,5,3,6,5,4,4,3,4,5,4,4,5,3,3,3,4,3,6,2,5,6,2,1,4,28,61784,"male","college graduate",0,TRUE,5,4.4,3.6,3.2,5.4,60.3,52.1,28.5,53.1,82.2
"82",1,6,3,3,1,6,6,5,1,6,4,5,3,5,1,4,4,6,6,5,6,1,6,6,1,2,4,38,61788,"female","college graduate",0,TRUE,3.8,4.8,2.8,5,6,16,68.3,11.6,92.6,98.1
"83",1,4,6,2,6,3,3,4,4,5,6,4,5,6,2,3,5,4,6,4,6,2,5,6,1,1,,38,61789,"male",,2,TRUE,4.8,3,3.4,4.4,5.6,50.9,9.9,23.1,83.8,88.9
"84",1,6,6,5,6,5,6,5,1,1,3,2,5,5,5,3,3,2,2,2,4,5,4,5,2,1,3,27,61793,"male","some college",0,TRUE,5.8,5.6,4.8,2.4,4,92.2,92.9,69.8,29.6,23.7
"85",1,6,5,2,6,4,5,5,2,3,3,4,4,5,3,2,4,5,6,6,6,5,4,6,1,2,1,18,61794,"female","HS",0,TRUE,5,4.6,3.8,4.6,4.8,60.3,60.3,34.9,87.5,57.7
"86",4,4,4,6,5,2,5,4,4,3,5,3,3,3,5,2,2,4,2,4,3,4,3,4,4,1,3,29,61797,"male","some college",0,TRUE,4.4,3.6,3.4,2.8,3.2,34.5,24.2,23.1,41.3,4.9
"87",1,5,5,5,5,4,4,5,2,2,5,2,2,5,5,3,3,2,2,2,4,5,5,4,4,2,4,50,61798,"female","college graduate",0,TRUE,5.2,4.6,3.8,2.4,3.6,69.3,60.3,34.9,29.6,12.1
"88",1,6,5,4,6,4,5,4,4,5,2,2,4,5,5,1,3,2,2,2,5,1,4,5,2,2,3,50,61801,"female","some college",0,TRUE,5.4,3.6,4.8,2,5,78.1,24.2,69.8,18.8,66.4
"89",1,6,4,6,4,4,4,5,2,4,1,2,4,5,5,2,3,2,2,2,4,2,3,4,2,2,3,20,61808,"female","some college",0,TRUE,5.2,4.2,5,2.2,4.2,69.3,44.3,76.9,24.1,31.3
"90",3,4,5,5,4,3,3,,3,3,4,4,4,3,4,3,3,4,4,3,4,2,4,4,3,2,3,19,61812,"female","some college",1,TRUE,4.4,3.8,3.4,3.4,4.2,34.5,30.7,23.1,58.2,31.3
"91",1,5,5,5,5,5,2,4,1,2,4,1,5,5,5,1,1,1,4,1,6,1,5,5,2,2,4,56,61813,"female","college graduate",0,TRUE,5.2,4.4,4.8,1.6,5.4,69.3,52.1,69.8,9.8,82.2
"92",1,5,6,2,5,5,4,5,3,4,3,5,4,4,4,3,3,4,3,4,6,1,5,6,2,2,4,29,61816,"female","college graduate",0,TRUE,4.8,4.2,3.6,3.4,5.6,50.9,44.3,28.5,58.2,88.9
"93",2,4,5,4,5,2,2,3,4,4,1,5,2,6,2,2,3,6,4,6,3,2,2,2,5,2,5,29,61818,"female","graduate degree",0,TRUE,4.6,2.6,3.6,4.2,2.8,42.2,5.1,28.5,79.4,1.6
"94",1,6,6,3,6,6,6,5,1,1,1,3,5,6,6,2,5,4,6,1,6,2,5,6,1,2,5,48,61819,"female","graduate degree",0,TRUE,5.4,5.8,5.4,3.6,5.6,78.1,96.4,88.7,63.6,88.9
"95",2,6,4,6,4,4,5,6,3,1,2,4,2,5,4,4,5,2,3,6,3,4,3,5,6,2,1,30,61821,"female","HS",0,TRUE,5,5,3.8,4,3,60.3,75.8,34.9,74.3,2.8
"96",2,3,3,4,3,5,6,4,1,4,5,6,2,2,4,3,4,6,6,6,5,2,3,5,4,2,2,21,61822,"female","finished HS",0,TRUE,3.6,4.8,2.2,5,4.2,12.6,68.3,5,92.6,31.3
"97",3,1,2,2,2,2,1,2,6,6,6,6,1,1,1,3,5,4,4,4,5,1,3,6,1,1,3,19,61825,"male","some college",0,TRUE,2.2,1.4,1,4,5.2,1.3,0.4,0.1,74.3,74.6
"98",1,4,5,5,6,6,4,4,1,1,5,1,2,3,5,1,2,1,1,1,5,1,5,6,1,1,5,42,61826,"male","graduate degree",0,TRUE,5.2,5.2,3.6,1.2,5.6,69.3,82.5,28.5,3.8,88.9
"99",4,3,2,6,5,4,5,6,2,6,5,5,1,5,5,4,5,6,6,6,5,1,2,6,4,2,3,18,61829,"female","some college",0,TRUE,3.8,4.2,3,5.4,4.4,16,44.3,15.1,96.4,39.5
"100",2,6,2,3,4,4,2,5,3,5,5,3,2,3,5,1,1,1,2,2,2,1,5,3,3,2,4,50,61831,"female","college graduate",0,TRUE,4,3.4,3.2,1.4,4,21.2,18.6,18.9,6.4,23.7
"101",2,5,5,3,5,4,3,4,3,5,3,5,4,5,5,,5,6,4,4,6,2,5,6,1,2,3,24,61834,"female","some college",1,TRUE,4.6,3.4,4,4.4,5.6,42.2,18.6,41.9,83.8,88.9
"102",3,4,4,2,4,4,3,4,4,2,2,3,4,3,5,4,4,2,2,4,4,2,5,4,2,1,5,25,61835,"male","graduate degree",0,TRUE,3.6,3.8,4.2,3.2,4.6,12.6,30.7,48.9,53.1,48.5
"103",2,5,5,5,2,6,6,4,1,5,3,2,2,2,5,4,5,5,5,4,6,2,5,6,1,1,5,47,61838,"male","graduate degree",0,TRUE,4.4,4.8,3.6,4.6,5.6,34.5,68.3,28.5,87.5,88.9
"104",1,4,5,2,6,2,1,2,4,6,6,5,3,3,3,2,1,3,3,1,4,3,4,5,6,2,1,18,61839,"female","HS",0,TRUE,4.6,1.8,2.4,2,3.6,42.2,0.8,6.4,18.8,12.1
"105",1,6,4,1,1,6,4,5,2,1,6,6,3,1,1,4,3,6,6,5,2,3,3,6,3,2,4,37,61840,"female","college graduate",0,TRUE,3.6,5.2,1.4,4.8,3.8,12.6,82.5,1.1,90.3,17.3
"106",1,6,5,6,6,5,3,4,6,5,2,4,3,4,5,4,5,4,3,4,5,4,4,6,2,2,4,33,61841,"female","college graduate",0,TRUE,5.8,3,4,4,4.6,92.2,9.9,41.9,74.3,48.5
"107",1,5,5,5,2,6,,6,1,1,3,2,1,2,6,5,,5,4,3,4,1,6,6,1,2,5,40,61847,"female","graduate degree",2,TRUE,4.6,5.8,3.6,4.2,5.6,42.2,96.4,28.5,79.4,88.9
"108",6,1,1,1,2,3,6,3,3,4,1,4,5,2,6,6,6,3,2,5,6,1,6,5,2,1,,18,61848,"male",,2,TRUE,1.2,3.8,4.4,4.4,5.6,0.1,30.7,55.8,83.8,88.9
"109",2,6,5,6,5,5,4,4,4,6,1,3,4,6,4,5,6,2,4,6,6,5,6,6,2,2,3,21,61851,"female","some college",0,TRUE,5.4,3.4,4.8,4.6,5,78.1,18.6,69.8,87.5,66.4
"110",3,6,5,6,4,3,5,2,3,4,2,5,6,6,5,6,6,6,4,6,5,4,4,6,4,2,3,27,61852,"female","some college",0,TRUE,5,3.4,4.8,5.6,4.2,60.3,18.6,69.8,97.6,31.3
"111",1,6,6,6,6,4,4,5,3,4,3,2,4,5,4,2,3,2,3,4,4,1,5,6,1,2,3,19,61854,"female","some college",0,TRUE,6,4,4.4,2.8,5.4,97.6,37.5,55.8,41.3,82.2
"112",,4,5,6,4,5,5,5,1,5,3,4,3,2,3,1,2,1,4,2,3,6,1,3,3,2,4,36,61856,"female","college graduate",1,TRUE,4.8,4.6,3,2,2.4,50.9,60.3,15.1,18.8,0.5
"113",1,6,6,5,4,5,3,5,1,2,2,4,4,5,4,1,1,1,2,2,4,2,4,6,2,2,3,19,61857,"female","some college",0,TRUE,5.4,4.8,4.2,1.4,4.8,78.1,68.3,48.9,6.4,57.7
"114",1,6,6,6,6,6,6,5,1,6,5,5,2,5,5,1,5,5,5,6,6,1,6,6,2,2,5,29,61861,"female","graduate degree",0,TRUE,6,4.8,3.2,4.4,5.8,97.6,68.3,18.9,83.8,94.1
"115",1,6,5,4,5,5,4,5,2,2,1,1,6,6,5,2,2,2,2,2,6,1,5,4,1,2,5,23,61862,"female","graduate degree",0,TRUE,5.2,4.8,5.8,2,5.4,69.3,68.3,96.2,18.8,82.2
"116",4,2,1,2,2,4,1,2,6,6,5,5,2,2,1,2,4,2,4,2,2,6,3,5,5,1,5,23,61865,"male","graduate degree",0,TRUE,2,1.8,1.8,2.8,2.6,0.8,0.8,2.7,41.3,1
"117",1,5,4,3,4,5,6,4,1,4,3,2,4,5,6,1,2,2,4,1,4,1,6,5,1,1,3,20,61868,"male","some college",0,TRUE,4.4,4.8,4.8,2,5.4,34.5,68.3,69.8,18.8,82.2
"118",5,2,2,2,1,2,2,2,3,5,5,6,2,1,2,4,4,2,2,2,5,1,5,5,2,1,4,24,61873,"male","college graduate",0,TRUE,1.8,2.4,1.6,2.8,5.2,0.5,3.5,1.8,41.3,74.6
"119",2,5,4,3,4,5,4,5,2,3,1,2,4,5,5,4,4,3,2,3,6,1,5,5,2,1,5,24,61874,"male","graduate degree",0,TRUE,4.2,4.6,5,3.2,5.4,27.6,60.3,76.9,53.1,82.2
"120",1,5,6,6,6,6,5,4,2,6,1,2,5,6,6,1,2,2,2,4,6,1,6,6,1,1,5,26,61880,"male","graduate degree",0,TRUE,5.8,4.2,5.6,2.2,6,92.2,44.3,93,24.1,98.1
"121",4,6,5,5,6,4,6,5,5,2,1,3,6,6,6,4,3,1,3,4,6,3,6,5,3,2,3,25,61886,"female","some college",0,TRUE,5,4.4,5.6,3,5,60.3,52.1,93,47.5,66.4
